Year,Access to electricity (% of population),Access to clean fuels for cooking (% of population),Renewable electricity Generating Capacity per capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),CO2 emissions value by country (kT),Renewables (% equivalent primary energy),GDP growth,GDP per capita
2000,1.613591,6.2,9.22,20000.0,44.99,0.16,0.0,0.31,65.95744,302.59482,1.64,760.0,6.290766,3.559855155,4578.633208
2001,4.074574,7.2,8.86,130000.0,45.6,0.09,0.0,0.5,84.745766,236.89185,1.74,730.0,6.290766,3.559855155,4578.633208
2002,9.409158,8.2,8.47,3950000.0,37.83,0.13,0.0,0.56,81.159424,210.86215,1.4,1029.999971,6.290766,3.559855155,179.4265792
2003,14.738506,9.5,8.09,25970000.0,36.66,0.31,0.0,0.63,67.02128,229.96822,1.4,1220.000029,6.290766,8.832277813,190.6838143
2004,20.064968,10.9,7.75,5665000.0,44.24,0.33,0.0,0.56,62.92135,204.23125,1.2,1029.999971,6.290766,1.414117981,211.3820742
2006,30.71869,13.85,7.4,10620000.0,31.89,0.2,0.0,0.64,76.190475,304.4209,1.5,1759.99999,6.290766,5.357403251,263.7336019
2008,42.4,16.7,7.49,16170000.0,21.17,0.19,0.0,0.54,73.9726,607.8335,1.94,3559.999943,6.290766,3.924983822,364.663542
2011,43.22202,21.8,8.13,28690000.0,12.61,0.18,0.0,0.6,76.92309,1436.1143,3.23,8930.000305,6.290766,0.426354785,591.1900302
2013,68.29065,24.8,9.1,268460000.0,16.86,0.22,0.0,0.89,80.180176,1060.7926,2.46,5989.999771,6.290766,5.600744658,624.3154545
2014,89.5,26.1,8.95,6940000.0,18.93,0.16,0.0,1.0,86.2069,868.5762,2.25,4880.000114,6.290766,2.724543364,614.2233424
2015,71.5,27.4,8.79,4890000.0,17.53,0.15,0.0,1.03,87.28814,970.0803,2.37,5949.999809,6.290766,1.45131466,556.0072209
2016,97.7,28.6,9.87,860000.0,19.92,0.15,0.0,1.06,87.603294,862.79114,2.24,5300.000191,6.290766,2.260314201,512.0127781
2017,97.7,29.7,9.79,50330000.0,19.21,0.18,0.0,1.09,85.826775,829.31195,2.3,4780.00021,6.290766,2.647003202,516.6798622
2018,96.616135,30.9,9.55,70100000.0,17.96,0.2,0.0,0.97,82.90598,924.25085,2.44,6070.000172,6.290766,1.189228128,485.6684187
2019,97.7,31.9,9.58,4620000.0,18.51,0.18,0.0,0.89,83.17757,802.61255,2.41,6079.999924,6.290766,3.911603419,494.1793499
2020,97.7,33.2,9.35,5665000.0,23.3,0.12,0.0,0.68,85.0,702.888,4.3,10500.0,6.290766,-2.351100673,516.7478708
2000,100.0,38.2,32.91,5665000.0,23.3,0.14,0.0,4.55,97.01493,9029.4375,4.13,3170.0,6.290766,6.946216585,1126.68334
2001,100.0,40.5,32.91,5665000.0,23.3,0.13,0.0,3.52,96.438354,8635.532,3.89,3230.0,6.290766,8.293312636,1281.659826
2002,100.0,43.2,32.91,5665000.0,23.3,0.16,0.0,3.48,95.60439,9443.555,4.1,3759.99999,6.290766,4.536524157,1425.124219
2003,100.0,46.4,32.91,5665000.0,23.3,0.1,0.0,5.12,98.0843,10756.612,3.8,4070.000172,6.290766,5.528637464,1846.120121
2004,100.0,49.0,32.91,5665000.0,23.3,0.13,0.0,5.41,97.65343,11586.951,3.96,4250.0,6.290766,5.51466791,2373.581292
2005,100.0,51.9,32.91,5665000.0,23.3,0.07,0.0,5.32,98.7013,11545.616,3.75,4030.00021,6.290766,5.526424241,2673.786584
2006,100.0,54.8,32.91,5665000.0,23.3,0.09,0.0,4.95,98.21428,10976.728,3.46,4010.000229,6.290766,5.902659038,2972.742924
2007,100.0,58.1,32.91,5665000.0,23.3,0.07,0.0,2.76,97.526505,9534.874,3.12,4139.999866,6.290766,5.983259523,3595.038057
2008,100.0,60.8,32.91,5665000.0,23.3,0.07,0.0,3.76,98.172325,10499.328,3.01,4079.999924,6.290766,7.500041428,4370.539925
2009,100.0,63.6,32.91,5665000.0,23.3,0.0,0.0,5.2,100.0,11524.428,2.98,4219.99979,6.290766,3.354289352,4114.134899
2010,100.0,66.5,32.91,5665000.0,23.3,0.0,0.0,7.49,100.0,12377.504,2.85,4449.999809,6.290766,3.70693815,4094.348386
2011,100.0,68.9,32.91,5665000.0,23.3,0.06,0.0,4.09,98.554214,10854.649,2.91,4849.999905,6.290766,2.545406145,4437.142612
2012,99.9,71.3,32.91,5665000.0,23.3,0.0,0.0,4.68,100.0,10652.809,2.57,4360.000134,6.290766,1.4172428,4247.630047
2013,100.0,73.15,32.91,5665000.0,23.3,0.0,0.0,6.89,100.0,13392.774,2.96,4440.000057,6.290766,1.00201754,4413.062005
2014,99.95,74.6,32.91,5665000.0,23.3,0.0,0.0,4.68,100.0,11809.461,2.93,4820.000172,6.290766,1.774448855,4578.633208
2015,99.98,76.2,32.91,5665000.0,23.3,0.0,0.0,5.84,100.0,11824.314,2.69,4619.999886,6.290766,2.218726372,3952.802538
2016,99.89,77.8,32.91,5665000.0,23.3,0.0,0.0,7.7,100.0,13823.748,2.68,4480.000019,6.290766,3.314980684,4124.05539
2017,99.89,78.7,32.91,5665000.0,23.3,0.0,0.0,4.48,100.0,12802.36,2.69,5139.999866,6.290766,3.8022274,4531.019374
2018,100.0,79.8,32.91,5665000.0,23.3,0.0,0.0,8.47,100.0,14609.701,2.57,5110.000134,6.290766,4.019359686,5287.663694
2019,100.0,80.7,32.91,5665000.0,23.3,0.0,0.0,5.17,100.0,11585.555,2.5,4829.999924,6.290766,2.113419982,5395.659532
2020,100.0,81.3,32.91,5665000.0,23.3,0.0,0.0,5.31,100.0,11158.003,4.3,10500.0,6.290766,-3.955397927,5246.292306
2000,97.68926,100.0,0.0,5665000.0,0.0,0.14,0.0,0.0,0.0,28457.223,3.13,330.0,6.290766,6.203431254,10872.29295
2002,100.0,100.0,0.0,5665000.0,0.0,0.18,0.0,0.0,0.0,29660.344,3.59,389.9999857,6.290766,1.02744197,10401.05088
2003,97.956825,100.0,0.0,5665000.0,0.0,0.2,0.0,0.0,0.0,30824.252,3.63,409.9999964,6.290766,6.076543688,10797.95106
2004,98.0371,100.0,0.0,5665000.0,0.0,0.21,0.0,0.0,0.0,31622.059,3.57,400.000006,6.290766,5.767028612,11446.96914
2005,92.2,100.0,0.0,5665000.0,0.0,0.23,0.0,0.0,0.0,31734.295,3.4,409.9999964,6.290766,6.473831316,12557.54785
2007,100.0,100.0,0.0,5665000.0,0.0,0.26,0.0,0.0,0.0,33375.836,3.02,460.0000083,6.290766,9.315383163,15622.69287
2008,100.0,100.0,0.0,5665000.0,0.0,0.27,0.0,0.0,0.0,33637.074,3.08,479.9999893,6.290766,-0.014340652,16044.1058
2011,94.55202,100.0,3.36,5665000.0,0.08,0.32,0.0,0.0,0.0,32616.084,4.08,540.0000215,6.290766,-1.958612628,12746.63347
2012,100.0,100.0,3.32,5665000.0,0.15,0.31,0.0,0.0,0.0,33159.37,4.08,699.9999881,6.290766,3.3728662,13272.73494
2013,100.0,100.0,4.37,2580000.0,0.15,0.31,0.0,0.0,0.0,32853.875,4.13,469.9999988,6.290766,-0.600876397,12910.59063
2014,100.0,100.0,4.32,5665000.0,0.14,0.32,0.0,0.0,0.0,33313.0,4.01,479.9999893,6.290766,3.795727613,13501.58092
2015,100.0,100.0,36.34,6970000.0,0.48,0.32,0.0,0.01,3.030303,33830.76,3.98,490.0000095,6.290766,3.825293099,14285.32978
2016,100.0,100.0,37.03,5665000.0,0.6,0.32,0.0,0.0,0.0,34089.41,3.85,500.0,6.290766,5.496459204,15198.74297
2017,100.0,100.0,40.87,19550000.0,0.6,0.32,0.0,0.01,3.030303,32233.041,3.73,500.0,6.290766,3.14432324,15383.5764
2018,100.0,100.0,86.21,5665000.0,0.9,0.32,0.0,0.01,3.030303,33026.227,3.57,509.9999905,6.290766,6.883640817,16679.59166
2019,100.0,100.0,85.47,5665000.0,0.91,0.33,0.0,0.01,2.9411764,33027.516,3.45,519.9999809,6.290766,4.862236166,17376.64968
2000,98.9,79.5,333.66,5665000.0,7.16,2.53,1.84,1.25,54.98221,9270.454,6.79,3560.0,6.290766,5.900000003,622.7409229
2001,100.0,82.2,331.89,7670000.0,5.42,2.62,1.99,0.96,52.962296,9219.866,6.17,3600.0,6.290766,9.599999999,694.4234554
2004,99.18923,89.9,341.15,10320000.0,8.71,1.72,2.2,1.98,70.84745,10294.192,4.52,3759.99999,6.290766,10.5,1191.921006
2008,99.205376,95.0,372.59,100000.0,6.4,1.42,2.27,1.78,74.04023,13250.285,4.13,5690.000057,6.290766,6.9,4010.861381
2010,99.8,96.4,391.73,92450000.0,9.36,1.35,2.29,2.54,78.15534,13351.512,3.89,4340.000153,6.290766,2.2,3218.378299
2011,99.6058,96.8,400.57,960000.0,8.01,2.25,2.36,2.46,68.17539,14139.787,4.06,4940.000057,6.290766,4.699999999,3525.807198
